product_id,id,user_id,profile_name,helpfulness_numerator,helpfulness_denominator,score,time,summary,text,helpfulness_percentage
FP00003985_Rev4,19,,,,,1,,,"PROJECT SUMMARY Tracking evolutionary changes in viral genomes and their spread often requires the use of data deposited in public databases such as GenBank, the Influenza Research Database (IRD), or the Virus Pathogen Resource (ViPR). GenBank provides an abundance of available viral sequence data for phylogeography. Sequences and their metadata can be downloaded and imported into software applications that generate phylogeographic trees and models for surveillance. IRD and ViPR are NIH/NIAID funded programs that import data from GenBank but contain additional data sources, visualization, and search tools for their users. Tracking evolutionary changes and spread also requires the geospatial assignment of taxa, which is often obtained from GenBank metadata. Unfortunately, geospatial metadata such as host location is often uncertain in GenBank entries, with only 36% containing a precise location such as a county, town, or region within a state. For example, information such as China or USA was indicated instead of Beijing or Bedford, NH. While town or county might be included in the corresponding journal article, this valuable information is not available for immediate use unless it is extracted and then linked back to the appropriate sequence. The goal of our work is to enable health agencies and other researchers to automatically generate phylogeographic models that incorporate enhanced geospatial data for better estimates of virus spread. This proposal focuses on developing and applying information extraction and statistical phylogeography approaches to enhance models that track evolutionary changes in viral genomes and their spread. We propose a framework that uses natural language processing (NLP) for the automatic extraction of relevant geospatial data from the literature, and assigns a confidence between such geospatial mentions and the GenBank record. We will then use these locations and the estimates as observation error in the creation of phylogeographic models of zoonotic virus spread. We hypothesize that a combined NLP-phylogeography infrastructure that produces models that include observation error in the geospatial assignment of taxa will be closer to a gold standard than phylogeographic models that do not include them. Our research will extend phylogeography and zoonotic surveillance by: creating a NLP infrastructure that will improve the level of detail of geospatial data for phylogeography of zoonotic viruses (Aim 1), develop phylogeographic models using the estimates from Aim 1 as observation error (Aim 2), and evaluating our approach by comparing the models it produces to models that do not account for observation error in the geospatial assignment of taxa (Aim 3). We will allow users to generate enhanced models and view results on a web portal accessible via a LinkOut feature from GenBank, IRD, and ViPR. The addition of more precise geospatial information in building such models could enable health agencies to better target areas that represent the greatest public health risk. ",
FP00004241_Rev1,1,,,,,1,,,The purpose of this agreement is to support personnel required to increase the number of individuals trained to provide speech and language services in the public schools by the CONTRACTOR.  One cohort of individuals will be employed by an AZ school as a Speech Language Assistant (SLPA) or a Speech Language Technician (SLT) while they pursue graduate training in speech language pathology.  A second cohort will be full-time graduate students in speech language pathology who are recruited to select an emphasis area of school-age speech pathology that includes additional and specialized training within a school-based service delivery model.  Certified and licensed Speech-language pathologists will be supported in order to provide this training and a student worker will be hired at 10 hours a week to support recruiting and organizing training materials.,
FP00004241_Rev2,2,,,,,1,,,"The purpose of this agreement is to support personnel required to increase the number of individuals trained to provide speech and language services in the public schools by the CONTRACTOR.  One cohort of individuals will be employed by an AZ school as a Speech Language Assistant (SLPA) or a Speech Language Technician (SLT) while they pursue graduate training in speech language pathology.  A second cohort will be full-time graduate students in speech language pathology who are recruited to select an emphasis area of school-age speech pathology that includes additional and specialized training within a school-based service delivery model.  Certified and licensed Speech-language pathologists will be supported in order to provide this training in the schools during fall and spring.  During the summer a part time certified and licensed Speech-language pathologist will be hired to train these same students in the areas of adult speech, swallowing and language needed for certification that they cannot acquire during their school rotations. A student worker will be hired at 5 hours a week to support recruiting, tracking supervisor information and organizing training materials.",
FP00004241_Rev3,3,,,,,1,,,"The purpose of this agreement is to support personnel required to increase the number of individuals trained to provide speech and language services in the public schools by the CONTRACTOR.  One cohort of individuals will be employed by an AZ school as a Speech Language Assistant (SLPA) or a Speech Language Technician (SLT) while they pursue graduate training in speech language pathology.  A second cohort will be full-time graduate students in speech language pathology who are recruited to select an emphasis area of school-age speech pathology that includes additional and specialized training within a school-based service delivery model.  Certified and licensed Speech-language pathologists will be supported in order to provide this training in the schools during fall and spring.  During the summer a part time certified and licensed Speech-language pathologist will be hired to train these same students in the areas of adult speech, swallowing and language needed for certification that they cannot acquire during their school rotations. A student worker will be hired at 5 hours a week to support recruiting, tracking supervisor information and organizing training materials.",
FP00004241_Rev4,4,,,,,1,,,"The purpose of this agreement is to support personnel required to increase the number of individuals trained to provide speech and language services in the public schools by the CONTRACTOR.  One cohort of individuals will be employed by an AZ school as a Speech Language Assistant (SLPA) or a Speech Language Technician (SLT) while they pursue graduate training in speech language pathology.  A second cohort will be full-time graduate students in speech language pathology who are recruited to select an emphasis area of school-age speech pathology that includes additional and specialized training within a school-based service delivery model.  Certified and licensed Speech-language pathologists will be supported in order to provide this training in the schools during fall and spring.  During the summer a part time certified and licensed Speech-language pathologist will be hired to train these same students in the areas of adult speech, swallowing and language needed for certification that they cannot acquire during their school rotations. A student worker will be hired at 5 hours a week to support recruiting, tracking supervisor information and organizing training materials.",
FP00007554_Rev3,5,,,,,1,,,"Identification of Autoantibody Biomarkers against Post-Translationally Modified Proteins for the Early Detection of Breast Cancer A. Overview Our overarching goal is to identify biomarkers that can facilitate accurate and early diagnosis in the context of mammography.  Glycosylated  proteins  with  truncated  O-glycans  are  enriched  in  cancer  patients  relative  to healthy controls.  Since altered post-translational modifications are highly immunogenic, we hypothesize that these aberrantly glycosylated proteins can elicit tumor associated autoantibodies against glycoproteins (TAAb-AGP) that can serve as markers for the early detection of breast in conjunction with current imaging modalities. We  propose  the  development  of  a  high-throughput  strategy  to  generate  and  display  synthetic  O-linked glycoprotein  structures  that  mimic  tumor-specific  structural  changes  on  our  innovative  contra  capture  array platform, encompassing known TAAbs, cancer-relevant glycoproteins, and single-pass transmembrane proteins. We will identify TAAb-AGP biomarkers using these glycoprotein arrays by comparing sero-reactivity between cancer patients and control sera.  Our specific aims included: Aim 1: Development of a multiplexed platform to produce O-glycosylation proteins  The contra capture platform  will  be  used  to  generate  post  translational  modification  (PTM)  protein  microarrays,  which  is  an improvement of  HD  NAPPA  that  was  previously  utilized.  The  apparatus  will  be  developed  to  accommodate ~2000  displayed  proteins  including  optimization  of  printing  in  PDMS  wells.  To  perform  post  translation modification on arrays, an in-solution glycosylation protocol will be optimized to be used for on array for both Tn and STn O-glycosylation PTMs.  Aim 2: Proteome scale glycoprotein array development and production  To have a complete collection of breast  cancer  antigens  on  the  protein  microarrays,  we  will  utilize  reported  tumor  associated  autoantibodies (TAAbs), cancer-relevant O-glycoproteins, as well as the most complete mucin collection. These antigens will be cloned into NAPPA expression vectors to ensure fresh protein expression on the arrays for both native and PTMs.  Aim 3: Identification of anti-glycoprotein antibody (TAAb-AGP) biomarkers in breast cancer  Arrays will be used to screen native, Tn-modified, and STn modified antigens to assess novel TAAb-AGP for the early detection of breast cancer. There will be ~2000 antigens displayed on the arrays and analyzed for differences in native  and  O-glycosylated  antigens.  Those  antigens  which  display  strong  differences  between  native  and modified antigens will then be validated using RAPID-ELISA.   B. Accomplishments During the funding period, we have developed the contra capture array platform for the study of TAAb-AGP. We have optimized the process and established quality control measures to improve the data quality. We have expanded the content of the arrays to display 1632 unique genes comprising O-glycoproteome, mucins, breast cancer autoantigens and membrane or secreted proteins highly expressed in breast cancer. We have profiled TAAb-AGP in breast cancer using serum samples acquired from women with Breast Imaging Reporting and Data System (BI-RADS) 3 or 4 from Provista 001 and 002 multicenter clinical studies, whose case and control statuses were later determined by biopsy after mammogram screening. Serum screening are performed against native, Tn, STn and core3 glycosylated proteins and detected using anti-hIgG and anti-hIgM antibodies labeled with different Alexa fluor. IgM secondary antibodies were selected due to their reported relevance to anti-glycan antibodies.  We  have  completed  screening  IgG  and  IgM  TAAb-AGP  in  40  cases  with  breast  cancer  and  40 controls with benign breast disease. In addition, through the EDRN ovarian set-aside project, we have performed validation studies for AAb detection of 977 samples to the following proteins: TP53, CTAG1a, CTAG2, as well as CA4, ICAM3, KSR1, NIDT11, NXF3, POMC, PVR-B, STYXL1, TRIM39, and UHMK1. C. Work in progress For each of the 3 types of O-glycosylation form, we have selected ~160 candidates with high specificity, greater than 15% sensitivity at 95% specificity, or high sensitivity, greater than 40% sensitivity at 80% specificity. Arrays displaying target antigens of candidate antibodies will be produced for each form.  We will repeat the evaluation of the TAAb-AGP biomarkers using targeted arrays with selected proteins using the 80 discovery samples. We will confirm the performance of candidate antibodies in independent set of 180 serum samples (40 cases and 130 group matched benign disease controls) with same clinical characteristics as the discovery set. We expect the completion of the confirmation using the Provista samples by the end of the 5-year funding period.       D. Proposed plan For the extended funding period, we propose to complete the confirmation and the blind validation, which we proposed  in  our  original  proposal  but  was  delayed  due  to  the  pandemic.  We  also  propose  to  map immunodominant epitopes for the target antigens of the top validated TAAb-AGP markers.  D.1. Evaluation of biomarker performance in Her2+ and TNBC breast cancer subtypes We recognize that the majority (>60%) of breast cancer cases in both of our sample sets will be ER+, and that potentially  useful  biomarkers  for  Her2+  and  TNBC  cancers  may  be  missed.  We  will  also  evaluate  the performance of the top ~160 candidates with sera from 60 invasive Her2+ breast cancer patients, 60 invasive TNBC breast cancer patients, and 60 benign breast disease controls, all matched for age and gender. We will select candidate biomarkers (n  30) with the high sensitivity and high specificity for each subtype. D.2. Evaluation of biomarker performance in serous ovarian cancer.  Our data demonstrates that the TAAb-AGP biomarkers are present in serum samples from women with breast cancer, but the specificity for breast cancer, in comparison to other tumor types is not known.  Ovarian cancer, in particular, is known to have tumor-specific altered glycosylation (i.e., MUC16, CA125).  In addition to tumor subtype analysis, we will also evaluate the performance of the top ~160 candidates with sera from 60 newly diagnosed serous ovarian cancer patients, and 60 healthy age-matched controls from the set-aside project.  D.2. TAAb-AGP Validation D.2.2. Patients and samples Candidate antibody biomarkers will be validated using cases and age- and gender-matched controls from the EDRN breast cancer reference set. This set contains samples from women collected at diagnosis with incident invasive cancer, carcinoma in situ, benign pathology with atypia, benign disease with no atypia, and women with no  evidence  of  breast  disease  by  screening  mammography.  These  samples  will  be  run  blinded  to  the investigators. We originally planned for 50 cases and 50 controls. We propose to increase the sample numbers to 100 cases and 100 controls.  D.2.3. Adopting Multiple In-Solution Protein Array (MISPA) for the study of TAAb-AGP We originally planned the use of RAPID-ELISA (Rapid Antigenic Protein In Situ Display) for the validation of our candidate antibody markers. However, the signal to noise ratio we observed during our preliminary testing was  not  ideal  for  the  study  of  TAAb-AGP.  Therefore,  we  will  use  our  recently  developed  innovative  highly multiplexed and quantitative Multiple In-Solution Protein Array (MISPA), which integrates immunoassays with the unprecedented power of next-generation sequencing (NGS) technology, for the validation. As shown in Fig.1, antigens covalently barcoded with unique DNA sequences are immunoprecipitated by antibodies in patient serum, followed by quantitative assessment of the DNA barcode using NGS to assess antibody concentrations. In brief, in vitro produced FLAG/HaloTagged proteins using human (HeLa cell) lysates are isolated with anti-FLAG antibody-coated magnetic beads and each is attached to a unique 12-nt DNA barcode oligo covalently using  HaloTag  ligand  conjugated  to  a  universal  DNA  linker.  The  barcoded  proteins  will  be  pooled  and glycosylated  to  generate  the  candidate  antigen  library,  which  is  then  incubated  individually  with  the  serum samples in 96 well plates. Antibody-antigen complexes are isolated with magnetic beads (e.g., protein A/G) and PCR-amplified with the universal primers for linker sequences. The amplified barcodes are subjected to another few cycles of PCR to add the Illumina sequencing adaptors along with a unique sample index sequence. After NGS  on  the  pooled  amplicon  samples,  the  unique  barcode  counts  for  each  protein  are  normalized  by  the corresponding  counts  in  the  input  candidate  antigen  library.  MISPA  allows  for  molecular  interactions  in  an aqueous phase, a substantial advantage over conventional assays that display proteins fixed on a solid surface and  outperforms  many  fluorescent-based  detection  systems  with  a  4  log  dynamic  range  (limited  only  by sequencing depth) and increased signal-to-noise (S/N) ratio due to the intrinsically digital nature of NGS, allowing robust detection of even weak antibody responses that are likely missed by other assays. In addition to the multiplexing capability for testing tens of candidate antigens in parallel, individual reactions can also be uniquely indexed and pooled, which allows measuring antibody response in hundreds of patient samples with a single NGS  run.  Further,  as  all  the  steps  are  performed  in  aqueous  solutions,  the  entire  process  can  be  readily automated. D.2.4. Study plan We  will  select  candidate  biomarkers  with  high  sensitivity  or  high  specificity  for  the  mixed  breast  cancer population and its subtypes. We will avoid those showing high reactivity in ovarian cancers, benign disease, or healthy controls. We will validate up to 30 candidate antibody biomarkers each for native and the 3 types of  O-glycosylated  antigens  for  MISPA  validation. Antibodies  against  candidate  antigens,  with appropriate glycosylation, in parallel with 2 control proteins:  1)  HaloTag-FLAG  fusion  alone  (without human genes); 2) Green Fluorescent Protein (GFP) fused  with  HaloTag-FLAG  tags,  will  be  assayed. Serum samples will be incubated with the barcoded O-glycosylated antigen pool in solution. Antibody-antigen  complexes  will  be  isolated  with  anti-IgM-Ab-, or protein G-coated beads, attached with the dual  indexes  (for  patient  barcodes)  and  Illumina adaptors via PCR, pooled, and subjected to NGS and  barcode  deconvolution.  Serially  diluted commercial anti-GFP antibody will be included in each experiment to generate a standard curve to calculate antibody concentrations in each sample. All assays will be done in triplicate, and the antibody concentration for each antibody will be calculated by comparing the input-normalized barcode counts (i.e., assay read counts/input library read counts) to the standard curve for the anti-GFP antibody.  Fig.1. MISPA pipeline D.2.5. Statistical analysis plan  We will analyze the 30 candidate markers that were selected from our previous discovery (pre-screening and confirmation)  samples  using  the  independent  validation  samples.  We  will  determine  individual  marker sensitivities,  specificities,  positive  predictive  values,  and  negative  predictive  values  for  discriminating  with invasive breast cancer from benign breast disease using the same cutoff values from the discovery samples. We will also determine a panel of markers using machine learning methods such as lasso or random forest in the discovery  and  blinded  validation  approach.  The  receiver  operating  characteristics  curve  analysis  will  be performed  for  the  panel  to  assess  its  classification  performances.  Additional  exploratory  analyses  of  the validation  data  using  penalized  logistic  regression  will  examine  the  effect  of  tumor  subtype,  age,  BI-RADS categories, breast density, and other demographic and clinical characteristics on the invasive breast cancer. Based  on  the  statistical  significance  of  these  independent  variables,  adjusted  odds  ratios  for  cases  versus controls will also be calculated. D.2.6. Power Analysis  With  100  breast  cancer  patients  and  100  benign  disease  controls,  if  there  are  16  markers  with  either  80% specificity at 40% sensitivity or 30% sensitivity at 95% specificity among the 30 candidate markers selected from the discovery samples, the power is 87% to identify true markers at the corrected 0.05 significance level. These calculations  were  made  using  a  Monte  Carlo  power  analysis  for  binary  marker  data  using  the  marker specifications indicated above. ",
FP00008520_Rev1,6,,,,,1,,, Statement of work for continuation of work with Boehringer Ingelheim  Continue development of novel motor-speech metrics for assessment of automated speech and language features for assessment of cognitive and thought disorders.  Continue development of novel cognitive-linguistic metrics for assessment of automated speech and language features for assessment of cognitive and thought disorders.   Evaluation of motor-speech and cognitive-linguistic metrics on data from patients diagnosed with Schizophrenia and Bipolar Disorder.  Develop a pipeline for automatic evaluation of speech and language samples.  Disseminate results through journal publication and conference presentations ,
FP00008520_Rev2,7,,,,,1,,,"IntroductionSince the initial descriptions of psychosis and schizophrenia, speech/language impairments are in the core symptomatology that describes the phenomenology associated with this mental suffering (some grouped in a set of symptoms described as formal thought disorder -FTD - accessed through speech/language). In recent years, different natural language processing tools (NLP) have efficiently measured aspects of FTD, helping the prediction of negative and cognitive symptomatology linked to psychosis, and the early identification of schizophrenia (even during the first episode), or conversion to psychosis (at the prodromal phase). There is major potential in learning which aspects of the FTD phenomenology, including the characteristic cognitive impairment, are associated with those NLP measurements in different clinical contexts, such as during the prodromal phase.HypothesesAccording to the literature in schizophrenia, we hypothesize that negative symptomatology, as well as cognitive performance will be associated with NLP markers, and predictive of remission of the attenuated symptoms. In addition, we expect that the rate and rhythm of speech will be associated with negative and positive symptoms. Furthermore, acoustic features correlated with pause in speech will be related to negative features such as avolition; whereas the increased rate of speech will be correlated with incoherence. ObjectivesThe aim of this study is to understand the phenomenological and cognitive associations of NLP metrics (structural, semantic and acoustic levels) from a short oral narrative protocol in the context of clinical high risk for psychosis - CHR, and to verify the validity of these speech/language markers for prediction of remission of attenuated psychotic symptomatology.",
FP00009748_Rev1,8,,,,,1,,,"SCOPE OF THE  PROJECT Objectives and expected achievements The  scientific,  technological  and  where  appropriate,  demonstration  objectives  of  the project shall be clearly stated in a measurable and verifiable form. A.   Determine the closeness of match, on a scale of 0 (not at all like the CI) to 10 (exactly like the CI) for the sound quality of the CI to : 1. filtered speech signals, 2. spectrally compressed signals (as defined by E1 and E12 pitch matches), 3. spectral smeared, or flattened, signals, 4. pitch shifted signals, 5. formant shifted signals, 6.flanged signals (a delay and add-back operation) 7. combinations of these signals. Conditions 3-8 will be conducted with natural speech signals.. B.   Determine the relationship (correlation) between the type of match as determined in A above and (a) the clinical fitting map, (b) a map based on spiral ganglion place frequencies and (c) a map based on pitch matching to stimulation at each electrode.  5.3 Targeted Outcome (s) What shall be the actual useful result that defines the end of the project with respect to scientific risks? The useful outcome will be a determination of the factors that determine the sound quality of a cochlear implant and  estimates  of  the  magnitude  of  change  in  sound  quality  that  accompany  changes  in  device programming.              ",
FP00010352_Rev2,9,,,,,1,,,"Statement of Work  This request is for a continuation of support based on the areas of work delineated in the original agreement for PI McCullough to plan, develop, and implement economic analyses and related research projects to evaluate and improve the effectiveness of the Maricopa County Department of Public Health (see below). The original agreement was signed in 2015 for one year with options to renew the agreement for up to four additional years. The specific tasks are determined each year by PI in collaboration with sponsor, but the goals and broad areas of work for this upcoming year remain consistent with the ongoing agreement we have in place with regard to my expertise. Specific areas of work include the following:  Provide guidance to MCDPH managers and staff on program evaluation and methods of economic analysis. Respond to inquiries and requests from MCDPH managers regarding economic analyses of program operations, outcomes, and/or economic impacts.  Conceive, develop and promote strategic vision for economic analysis of public health economics issue(s) of importance, as mutually agreeable. Serve as liaison with external stakeholders including local, state, and/or federal agencies on activities related to public health economic analyses. Development of reports and manuscripts for publication in peer-reviewed journals; deliver presentations for audiences ranging from community forums to professional meetings. A. B. C. D. E.  SECTION III                                                                                    WORK STATEMENT        SERVICE GOALS  The goals of this Agreement are to plan, develop, and implement economic analyses and related  research  projects  designed  to  evaluate  and  improve  the  effectiveness  of  the Departments services. It is anticipated that these analyses and related research projects will contribute to program and/or public policy decisions. SERVICE OBJECTIVES/ACTIVITIES Economic  analyses  and  related  research  studies  may  include  a)  analysis  of  MCDPH public health services and activities, b) analysis of public health and/or health care market conditions and competition, c) analysis of health insurance coverage, health care access, population health and the uninsured, d) health care spending, health insurance premiums, trends, and factors underlying the trends, and e) use of economic analysis to evaluate the effectiveness and impact of public health programs.      6.         RESPONSIBILITIES OF THE CONTRACTOR      Contractor shall provide the following: Specific areas of work include the following:   A. Provide  guidance  to  MCDPH  managers  and  staff  on  program  evaluation  and methods of economic analysis. Respond to inquiries and requests from MCDPH managers regarding economic analyses of program operations, outcomes, and/or economic impacts.  Conceive, develop and promote strategic vision for economic analysis of public health economics issue(s) of importance, as mutually agreeable. Serve as liaison with external stakeholders including local, state, and/or federal agencies on activities related to public health economic analyses. Development of reports and manuscripts for publication in peer-reviewed journals; deliver  presentations to professional meetings.  for  audiences  ranging from  community forums Physical  office  space  and  general  office  supplies  for  Contractor  to  perform responsibilities pursuant to Agreement. Technological  resources  (including  computer,  secure  data  server  access  and storage, to  perform responsibilities pursuant to agreement. On-site managerial personnel to provide guidance and feedback regarding work and deliverables. Internet  connection, telephone,  etc.) for  Contractor 7.         RESPONSIBILITIES OF THE COUNTY      The County shall provide the following:   5.     B. C. D. E. A. B. C. ",
